Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av
ZTF18aazsabq_20180619_APO_v1.ascii,ZTF18aazsabq_20180619_APO_v1_10,Ia-norm,0.05,Ia-norm/2012ht/KAST+2013-01-05 11:45:36.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sb,0.458681,0.541319,-2456259.0,1.0
ZTF18aazsabq_20180621_P60_v1.ascii,ZTF18aazsabq_20180621_P60_v1_10,Ia-norm,0.0525,Ia-norm/2012ht/KAST+2013-01-05 11:45:36.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.5953867,0.4046133,-2456259.0,-0.2
ZTF18aazxthg_20180620_P60_v1.ascii,ZTF18aazxthg_20180620_P60_v1_10,Ia-norm,0.04275,Ia-norm/2011by/KAST+2011-05-14 05:54:14.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.7702464,0.22975361,-2455676.0,-0.2
ZTF18abadjhx_20180620_APO_v1.ascii,ZTF18abadjhx_20180620_APO_v1_10,Ia-norm,0.0722,Ia-norm/2013dy/HET-LRS+2013-08-02 05:45:36.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.25011176,0.74988824,-2456464.0,2.0
ZTF18abaeawz_20180619_APO_v1.ascii,ZTF18abaeawz_20180619_APO_v1_10,Ia 99aa-like,0.105,Ia 99aa-like/1999aa/MARK-III+1999-03-03 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB4,0.19959235,0.80040765,-2451232.0,1.8
ZTF18abaeawz_20180621_P60_v1.ascii,ZTF18abaeawz_20180621_P60_v1_10,Ia 99aa-like,0.105,Ia 99aa-like/1999aa/MARK-III+1999-03-03 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.76588494,0.23411508,-2451232.0,-2.0
ZTF18abaelhi_20180705_P60_v1.ascii,ZTF18abaelhi_20180705_P60_v1_10,II,0.0236565,II/2013ej/DEIMOS+2013-09-10 09:48:57.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.29512784,0.70487213,-2456451.0,1.6
ZTF18abafhva_20190501_P60_v1.ascii,ZTF18abafhva_20190501_P60_v1_10,IIn,0.003003,IIn/2010jl/KAST+2011-05-12 04:39:21.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.51376605,0.48623395,-2455466.0,2.0
ZTF18abafhva_20190513_P200_v1.ascii,ZTF18abafhva_20190513_P200_v1_10,IIn,0.00286,IIn/2010jl/LRIS+2013-02-09 08:08:48.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB5,0.9950069,0.004993109,-2455439.0,2.0
ZTF18abafxmt_20180621_P200_v1.ascii,ZTF18abafxmt_20180621_P200_v1_10,Ic-BL,0.02964,Ic-BL/1998bw/DFOSC+1998-05-08 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.088585004,0.911415,-2450942.0,2.0
ZTF18abajlni_20180617_P60_v1.ascii,ZTF18abajlni_20180617_P60_v1_10,II,0.15,II/2008aw/Other+2008-03-10 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.47184083,0.52815914,-2454528.0,2.0
ZTF18abakjgq_20180624_P60_v1.ascii,ZTF18abakjgq_20180624_P60_v1_10,Ia-norm,0.054,Ia-norm/2015N/LRIS+2015-07-16 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.4927457,0.5072543,-2457221.0,2.0
ZTF18abakunn_20191228_LT_v1.ascii,ZTF18abakunn_20191228_LT_v1_10,IIn,0.059535,IIn/2000eo/Other+2000-12-18 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.8824926,0.1175074,-2451875.0,-0.6
ZTF18abauprj_20180615_APO_v2.ascii,ZTF18abauprj_20180615_APO_v2_10,Ia-norm,0.0266,Ia-norm/2017erp/RSS+2017-06-13 22:20:08.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.7517047,0.24829534,-2457927.0,2.0
ZTF18abauprj_20180616_P200_v1.ascii,ZTF18abauprj_20180616_P200_v1_10,II,0.0294,II/2014cn/DBSP+2014-05-04 07:28:07.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.6616201,0.33837992,-2456764.0,2.0
ZTF18abauprj_20180616_P200_v4.ascii,ZTF18abauprj_20180616_P200_v4_10,Ia-norm,0.0266,Ia-norm/2009Y/Other+2009-02-08 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.3084762,0.6915238,-2454876.0,2.0
ZTF18abauprj_20180617_Keck1_v1.ascii,ZTF18abauprj_20180617_Keck1_v1_10,Ia-norm,0.0266,Ia-norm/2009ig/Other+2009-08-22 12:11:31.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.5052466,0.49475345,-2455048.0,2.0
ZTF18abauprj_20180617_LT_v1.ascii,ZTF18abauprj_20180617_LT_v1_10,Ia-norm,0.0294,Ia-norm/2012fr/RSS+2012-10-28 20:25:36.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.74946165,0.25053835,-2456207.0,1.6
ZTF18abauprj_20180620_APO_v1.ascii,ZTF18abauprj_20180620_APO_v1_10,Ia 99aa-like,0.0266,Ia 99aa-like/1999aa/MARK-III+1999-03-03 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB3,0.5796188,0.4203812,-2451232.0,0.4
ZTF18abauprj_20180621_DCT_v1.ascii,ZTF18abauprj_20180621_DCT_v1_10,Ia 99aa-like,0.0294,Ia 99aa-like/1999aa/DIS+1999-02-17 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.84715885,0.15284115,-2451232.0,-0.2
ZTF18abauprj_20180625_P60_v1.ascii,ZTF18abauprj_20180625_P60_v1_10,Ia 99aa-like,0.0294,Ia 99aa-like/1999aa/DIS+1999-02-17 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.95991564,0.040084336,-2451232.0,-1.2
ZTF18abauprj_20180626_NOT_v1.ascii,ZTF18abauprj_20180626_NOT_v1_10,Ia-norm,0.0266,Ia-norm/2012fr/KAST+2012-11-06 09:11:31.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.93715745,0.06284255,-2456212.0,0.0
ZTF18abauprj_20180704_NOT_v1.ascii,ZTF18abauprj_20180704_NOT_v1_10,Ia-pec,0.0266,Ia-pec/2000cx/KAST+2000-07-28 09:30:14.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB6,0.87360317,0.12639685,-2451739.0,2.0
ZTF18abauprj_20181027_P60_v1.ascii,ZTF18abauprj_20181027_P60_v1_10,Ia-pec,0.0266,Ia-pec/2000cx/KAST+2000-10-24 07:56:38.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB3,0.7449731,0.2550269,-2451715.0,1.8
ZTF18abaxlpi_20180616_P200_v4.ascii,ZTF18abaxlpi_20180616_P200_v4_10,Ia-norm,0.06137,Ia-norm/2011fe/STIS+2011-08-31 06:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB6,0.11400443,0.88599557,-2455815.0,2.0
ZTF18abaxlpi_20180617_Keck1_v1.ascii,ZTF18abaxlpi_20180617_Keck1_v1_10,Ia-norm,0.06137,Ia-norm/2011fe/STIS+2011-09-03 09:07:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.8231712,0.17682879,-2455815.0,-1.2
ZTF18abaxlpi_20180625_P60_v1.ascii,ZTF18abaxlpi_20180625_P60_v1_10,Ia-norm,0.06137,Ia-norm/2011by/KAST+2011-05-14 05:54:14.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.6522054,0.34779462,-2455676.0,0.0
ZTF18abbcyzh_20190713_P60_v1.ascii,ZTF18abbcyzh_20190713_P60_v1_10,SLSN-I,0.2,SLSN-I/2017egm/SPRAT+2017-06-15 21:26:10.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.1213993,0.8786007,-2457916.0,2.0
ZTF18abbikrz_20200724_P60_v1.ascii,ZTF18abbikrz_20200724_P60_v1_10,Ia-norm,0.048447,Ia-norm/2013dy/HET-LRS+2013-07-21 06:12:58.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sb,0.058358867,0.94164115,-2456442.0,2.0
ZTF18abbikrz_20200726_P60_v1.ascii,ZTF18abbikrz_20200726_P60_v1_10,Ia-norm,0.048447,Ia-norm/2013dy/HET-LRS+2013-08-02 05:45:36.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.035932668,0.96406734,-2456464.0,2.0
ZTF18abbodly_20180618_P60_v1.ascii,ZTF18abbodly_20180618_P60_v1_10,Ia-norm,0.0188,Ia-norm/2012cu/SNIFS+2012-07-11 07:12:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.29046193,0.7095381,,0.6
ZTF18abbodly_20180620_P60_v1.ascii,ZTF18abbodly_20180620_P60_v1_10,Ia-norm,0.01974,Ia-norm/2012cu/SNIFS+2012-07-11 07:12:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.34830263,0.65169734,,0.4
ZTF18abbovuc_20180618_P200_v1.ascii,ZTF18abbovuc_20180618_P200_v1_10,Ib,0.03705,Ib/2004gq/KAST+2004-12-17 07:36:28.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB3,0.2697157,0.73028433,-2453329.0,1.6
ZTF18abbovuc_20180621_P200_v1.ascii,ZTF18abbovuc_20180621_P200_v1_10,Ia-pec,0.03705,Ia-pec/2013bh/HET-LRS+2013-04-22 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.14395581,0.8560442,-2456385.0,2.0
ZTF18abbovuc_20181110_Keck1_v1.ascii,ZTF18abbovuc_20181110_Keck1_v1_10,Ibn,0.04095,Ibn/2010al/X-Shooter+2010-04-07 00:00:00.00,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.67419475,0.32580525,-2455281.0,-2.0
